,Site_Name,Site_Score,SITS_ID,Longitude,Latitude
85,Sharpe Army Depot,42.24,938,-121.2672,37.829169
86,Norton Air Force Base,39.65,939,-117.2372,34.098061
87,Castle Air Force Base (6 Areas),37.93,940,-120.5636,37.367360999999995
88,Mather Air Force Base,28.9,941,-121.2972,38.55695
89,Lawrence Livermore Laboratory (USDOE),42.24,942,-121.7047,37.688061
90,Firestone Tire & Rubber Co. (Salinas Plant),45.91,944,-121.5901,36.6249
91,Beckman Instruments (Porterville Plant),34.21,946,-119.0201,36.049
92,Louisiana-Pacific Corp.,33.73,947,-121.5703,39.4743
93,T.H. Agriculture & Nutrition Co.,42.24,948,-119.660501,36.764728000000005
94,"Advanced Micro Devices, Inc.",37.93,949,-122.0086,37.3825
95,Applied Materials,31.94,950,-121.9777,37.3777
96,Intel Magnetics,31.94,952,-121.9801,37.3756
97,Intel Corp. (Santa Clara III),31.94,953,-121.9717,37.3737
98,Monolithic Memories,35.57,955,-121.9968,37.3816
99,National Semiconductor Corp.,35.57,956,-121.9989,37.375281
100,Revere Textile Prints Corp.,41.06,7,-71.829169,41.708331
101,Nutmeg Valley Road,42.69,8,-72.9986,41.5748
102,Durham Meadows,33.94,9,-72.681388,41.48111
103,Cheshire Ground Water Contamination,35.57,1031,-72.910833,41.5575
104,Linemaster Switch Corp.,33.71,1095,-71.966939,41.940560999999995
105,Barkhamsted-New Hartford Landfill,38.05,1206,-73.04722199999999,41.980556
106,Gallup's Quarry,46.29,1209,-71.924161,41.665281
107,Precision Plating Corp.,49.1,1216,-72.447911,41.84975
108,New London Submarine Base,36.53,1267,-72.08708100000001,41.400139
109,"Raymark Industries, Inc.",0.0,1408,-73.117222,41.201278
110,Scovill Industrial Landfill,50.0,1591,-73.010639,41.550389
111,Broad Brook Mill,54.35,1613,-72.54722199999999,41.916667
112,Washington Navy Yard,48.57,1503,-76.9875,38.875
113,Army Creek Landfill,69.92,247,-75.608331,39.653061
114,Delaware Sand & Gravel Landfill,46.6,248,-75.60278100000001,39.651389
115,Delaware City PVC Plant,30.55,249,-75.649439,39.586110999999995
116,"Harvey & Knott Drum, Inc.",30.77,250,-75.770839,39.573331
117,New Castle Steel,30.4,251,-75.57776899999999,39.657781
118,New Castle Spill,38.33,252,-75.561669,39.670281
119,Tybouts Corner Landfill,0.0,253,-75.653339,39.6125
120,Wildcat Landfill,30.61,254,-75.5,39.120831
121,Coker's Sanitation Service Landfills,52.15,257,-75.611389,39.227219
122,NCR Corp. (Millsboro Plant),38.21,258,-75.283061,38.5775
123,Halby Chemical Co.,30.9,259,-75.537219,39.718610999999996
124,"Standard Chlorine of Delaware, Inc.",35.42,260,-75.63583100000001,39.599581
125,Tyler Refrigeration Pit,33.94,261,-75.618889,39.295281
126,Dover Gas Light Co.,35.57,263,-75.5277,39.1558
127,"E.I. du Pont de Nemours & Co., Inc. (Newport Pigment Plant Landfill)",51.91,264,-75.609169,39.708331
128,Sussex County Landfill No. 5,28.9,265,-75.61416899999999,38.535
129,Sealand Limited,33.1,1064,-75.71,39.5126
130,"Koppers Co., Inc. (Newport Plant)",33.56,1072,-75.624169,39.704719
131,Dover Air Force Base,35.89,1684,-75.466669,39.127781
132,"Chem-Solv, Inc.",37.93,1685,-75.5764,39.2216
133,Millsboro TCE,50.0,1804,-75.298061,38.588158
134,Newark South Ground Water Plume,50.0,1929,-75.735,39.653889
135,Hockessin Groundwater,50.0,1933,-75.696513,39.78752
136,Blades Groundwater,50.0,1954,-75.610467,38.631644
137,Alpha Chemical Corp.,43.24,392,-82.00971899999999,28.100831
138,American Creosote Works (Pensacola Plant),58.41,393,-87.236661,30.404719
139,Brown Wood Preserving,45.51,394,-83.01305,30.3025
140,Coleman-Evans Wood Preserving Co.,46.18,395,-81.842781,30.313889
141,Davie Landfill,57.86,396,-80.3426,26.0696
142,Florida Steel Corp.,45.92,397,-80.506111,27.041110999999997
143,Gold Coast Oil Corp.,57.8,398,-80.3112,25.7434
144,Hollingsworth Solderless Terminal,44.53,399,-80.15221899999999,26.198331
145,Kassauf-Kimerling Battery Disposal,53.42,400,-82.39,27.967219
146,Miami Drum Services,53.56,401,-80.313061,25.837219
147,Munisport Landfill,32.37,402,-80.154169,25.908331
148,Northwest 58th Street Landfill,49.43,403,-80.347219,25.833331
149,Parramore Surplus,37.61,404,-84.69375,30.660689
150,Pickettville Road Landfill,42.94,405,-81.738889,30.368610999999998
151,Pioneer Sand Co.,51.97,406,-87.351389,30.474169
152,Reeves Southeastern Galvanizing Corp.,58.75,407,-82.341939,27.9725
153,Sapp Battery Salvage,47.7,408,-85.3925,30.728331
154,Schuylkill Metals Corp.,59.16,409,-82.143061,28.010831
155,Sherwood Medical Industries,39.83,410,-81.265,29.060831
156,Taylor Road Landfill,51.37,411,-82.29305,28.009719
157,Tower Chemical Co.,44.03,412,-81.684719,28.551389
158,Varsol Spill,44.46,413,-80.2772,25.8047
159,Whitehouse Oil Pits,52.58,414,-81.8513,30.3201
160,Zellwood Ground Water Contamination,51.91,415,-81.613331,28.73195
161,Sixty-Second Street Dump,49.09,416,-82.38638900000001,27.969439
162,Cabot/Koppers,36.69,417,-82.323061,29.675
163,Dubose Oil Products Co.,34.18,420,-87.37695,30.618060999999997
164,Hipps Road Landfill,31.94,421,-81.805561,30.216939
165,Peak Oil Co./Bay Drum Co.,58.15,422,-82.3404,27.9708
166,"Pepper Steel & Alloys, Inc.",31.92,423,-80.35333100000001,25.873611
167,Sydney Mine Sludge Ponds,38.93,424,-82.209166,27.929166
168,"Tri-City Oil Conservationist, Inc.",39.3,425,-82.4015,28.0318
169,Wingate Road Municipal Incinerator Dump,31.72,428,-80.1847,26.1444
170,Piper Aircraft Corp./Vero Beach Water & Sewer Department,31.13,429,-80.415555,27.647499
171,Harris Corp. (Palm Bay Plant),35.57,430,-80.601389,28.030281
172,Petroleum Products Corp.,40.11,431,-80.1696,25.9926
173,Yellow Water Road Dump,30.26,432,-81.9717,30.2803
174,"Anodyne, Inc.",31.03,433,-80.221531,25.923189
175,Beulah Landfill,38.17,434,-87.345139,30.513060999999997
176,Airco Plating Co.,42.47,435,-80.2559,25.8152
177,Standard Auto Bumper Corp.,42.79,436,-80.289721,25.844444
178,"B&B Chemical Co., Inc.",35.35,1049,-80.300139,25.839581
179,Woodbury Chemical Co. (Princeton Plant),39.43,1071,-80.4124,25.5367
180,Madison County Sanitary Landfill,37.93,1103,-83.39375,30.501110999999998
181,"Chemform, Inc.",37.93,1111,-80.141374,26.219054999999997
182,Agrico Chemical Co.,44.98,1130,-87.2256,30.4512
183,"Wilson Concepts of Florida, Inc.",37.93,1139,-80.142768,26.218675
184,BMI-Textron,35.34,1185,-80.0738,26.7937
185,Anaconda Aluminum Co./Milgo Electronics Corp.,31.03,1217,-80.25653100000001,25.843061
186,Jacksonville Naval Air Station,32.08,1240,-81.682777,30.221109999999996
187,Cecil Field Naval Air Station,31.99,1245,-81.902777,30.238609999999998
188,Pensacola Naval Air Station,42.4,1256,-87.283054,30.357221999999997
189,Homestead Air Force Base,42.4,1264,-80.39694399999999,25.489444
190,Stauffer Chemical Co. (Tarpon Springs),50.0,1328,-82.775694,28.166665999999996
191,Helena Chemical Co. (Tampa Plant),30.19,1332,-82.374813,27.963931
192,Whiting Field Naval Air Station,50.0,1423,-87.02041700000001,30.709721999999996
193,Chevron Chemical Co. (Ortho Division),50.0,1425,-81.408889,28.578889
194,Escambia Wood - Pensacola,50.0,1435,-87.2317,30.4553
195,Normandy Park Apartments,49.98,1448,-82.394722,28.049444
196,MRI Corp (Tampa),37.62,1471,-82.35583299999999,27.96
197,Stauffer Chemical Co (Tampa),59.81,1473,-82.37055600000001,27.963055999999998
198,Tyndall Air Force Base,50.0,1474,-85.586667,30.0875
199,Florida Petroleum Reprocessors,50.0,1491,-80.215556,26.081944
200,"Mid-Atlantic Wood Preservers, Inc.",42.31,270,-76.69833100000001,39.163610999999996
201,Southern Maryland Wood Treating,34.21,271,-76.5882,38.3589
202,Kane & Lombard Street Drums,30.15,272,-76.5419,39.2956
203,"Chemical Metals Industries, Inc.",0.0,273,-76.6325,39.265419
204,Aberdeen Proving Ground (Michaelsville Landfill),31.09,274,-76.1414,39.4606
205,Aberdeen Proving Ground (Edgewood Area),53.57,275,-76.30773,39.395404
206,Woodlawn County Landfill,48.13,276,-76.09,39.641669
207,Bush Valley Landfill,40.3,277,-76.26195,39.467219
208,"Spectron, Inc.",51.42,1351,-75.877778,39.691249
209,"Ordnance Products, Inc.",32.15,1371,-75.923889,39.630833
210,Beltsville Agricultural Research Center (USDA),50.0,1386,-76.88458299999999,39.029166
211,Patuxent River Naval Air Station,50.0,1419,-76.419444,38.270694
212,Indian Head Naval Surface Warfare Center,50.0,1453,-77.174306,38.591389
213,Central Chemical (Hagerstown),50.0,1468,-77.723611,39.656667
214,Fort George G. Meade,51.44,1487,-76.715278,39.083333
215,Andrews Air Force Base,50.0,1511,-76.875,38.791667
216,Brandywine DRMO,50.15,1512,-76.845,38.698056
217,Curtis Bay Coast Guard Yard,50.0,1645,-76.572694,39.2
218,68th Street Dump,50.0,1680,-76.517886,39.307967
219,Fort Detrick Area B Ground Water,49.52,1782,-77.44676899999999,39.434442
220,Dwyer Property Ground Water Plume,50.0,1825,-75.844474,39.612007
221,Sauer Dump,50.0,1833,-76.45271,39.270267
222,McKin Co.,60.97,31,-70.2942,43.8841
223,O'Connor,31.86,32,-69.736944,44.301916
224,Pinette's Salvage Yard,33.98,33,-68.1701,46.7782
225,Saco Municipal Landfill,29.49,34,-70.4815,43.5302
226,Saco Tannery Waste Pits,43.19,35,-70.426389,43.56055
227,Winthrop Landfill,35.62,36,-69.988331,44.275831
228,Brunswick Naval Air Station,43.38,37,-69.933986,43.90634
229,Loring Air Force Base,34.49,38,-67.883888,46.944444
230,Portsmouth Naval Shipyard,50.0,1393,-70.74166600000001,43.084167
231,West Site/Hows Corners,50.0,1452,-69.182222,44.740278
232,Eastern Surplus,50.0,1454,-67.358333,45.038889000000005
233,Eastland Woolen Mill,70.71,1547,-69.261111,44.921667
234,Callahan Mine,50.0,1646,-68.810139,44.351639
235,"Union Chemical Co., Inc.",32.11,1683,-69.189027,44.21444
236,Leeds Metal,32.25,1849,-70.08025,44.237083
237,Keddy Mill,50.0,1885,-70.424514,43.734953000000004
238,Anderson Development Co.,31.02,559,-84.017219,41.893611
239,"Auto Ion Chemicals, Inc.",32.07,560,-85.567219,42.293889
240,Berlin & Farro,66.74,561,-83.8348,42.903999999999996
241,Burrows Sanitation,30.59,562,-86.1502,42.2233
242,Butterworth #2 Landfill,50.31,563,-85.700281,42.952219
243,"Cannelton Industries, Inc.",30.16,564,-84.393061,46.488889
244,Cemetery Dump,34.16,565,-83.610281,42.725281
245,Charlevoix Municipal Well,37.94,566,-85.266669,45.317781
246,Chem Central,38.2,567,-85.674161,42.91
247,Clare Water Supply,38.43,568,-84.7625,43.815
248,Cliff/Dow Dump,34.5,569,-87.42,46.574439
249,Duell & Gardner Landfill,34.68,570,-86.208339,43.319439
250,"Avenue ""E"" Ground Water Contamination",31.19,571,-85.5775,44.750719000000004
251,Electrovoice,35.36,572,-86.3545,41.8206
252,Forest Waste Products,38.64,573,-83.545831,43.198331
253,G&H Landfill,49.09,574,-83.07776899999999,42.664719
254,Grand Traverse Overall Supply Co.,35.53,575,-85.6382,44.7944
255,Gratiot County Golf Course,40.22,576,-84.623469,43.416419
256,Gratiot County Landfill,0.0,577,-84.595281,43.395
257,Hedblum Industries,37.29,578,-83.3469,44.4113
258,Ionia City Landfill,31.31,579,-85.046111,42.976669
259,K&L Avenue Landfill,38.1,580,-85.718889,42.283331
260,Kentwood Landfill,35.39,581,-85.5906,42.8738
261,"Liquid Disposal, Inc.",63.28,582,-83.073611,42.652781
262,Mason County Landfill,34.18,584,-86.4292,43.9185
263,McGraw Edison Corp.,33.42,585,-84.73306099999999,42.252219000000004
264,Northernaire Plating,57.93,586,-85.41,44.265
265,Novaco Industries,38.2,587,-83.6443,41.7856
266,"Organic Chemicals, Inc.",32.93,588,-85.7475,42.9178
267,Ossineke Ground Water Contamination,33.78,589,-83.442219,44.903331
268,Ott/Story/Cordova Chemical Co.,53.41,590,-86.25666899999999,43.303331
269,Packaging Corp. of America,51.91,591,-86.273331,44.226389000000005
270,Petoskey Municipal Well Field,42.68,592,-84.964,45.376000000000005
271,Rasmussen's Dump,31.8,593,-83.7693,42.4544
272,Rose Township Dump,50.92,594,-83.631939,42.720831
273,SCA Independent Landfill,34.75,595,-86.1425,43.201111
274,Shiawassee River,31.01,596,-83.963611,42.622780999999996
275,Southwest Ottawa County Landfill,39.66,597,-86.18521899999999,42.820419
276,Sparta Landfill,32.0,598,-85.68195,43.1525
277,Spartan Chemical Co.,41.05,599,-85.72778100000001,42.915831
278,Spiegelberg Landfill,53.61,600,-83.77221899999999,42.454169
279,Springfield Township Dump,51.97,601,-83.5419,42.7044
280,Tar Lake,48.55,602,-85.073,44.8866
281,U.S. Aviex,33.66,603,-86.1968,41.8309
282,Velsicol Chemical Corp.(Michigan),52.29,604,-84.618611,43.410561
283,Verona Well Field,46.86,605,-85.143331,42.341669
284,Wash King Laundry,40.03,606,-85.853,43.8532
285,Whitehall Municipal Wells,35.45,607,-86.328889,43.412219
286,Metamora Landfill,35.51,608,-83.274439,42.94695
287,Sturgis Municipal Wells,42.24,609,-85.4256,41.7988
288,"Thermo-Chem, Inc.",53.36,611,-86.136669,43.210831
289,Torch Lake,46.72,612,-88.39778100000001,47.169719
290,North Bronson Industrial Area,33.93,613,-85.193339,41.880281
291,Michigan Disposal Service (Cork Street Landfill),37.93,614,-85.5433,42.2545
292,"Motor Wheel, Inc.",48.91,616,-84.535,42.760831
293,South Macomb Disposal Authority (Landfills #9 and #9A),33.67,617,-82.907389,42.682081
294,Waste Management of Michigan (Holland Lagoons),37.2,618,-86.189389,42.824219
295,"Roto-Finish Co., Inc.",40.7,619,-85.5443,42.2292
296,"H. Brown Co., Inc.",39.88,621,-85.67833900000001,43.003331
297,Rockwell International Corp. (Allegan Plant),52.15,622,-85.85,42.536669
298,Kent City Mobile Home Park,33.62,625,-85.753331,43.216669
299,Folkertsma Refuse,33.12,626,-85.703331,43.001669
300,Pagel's Pit,45.91,518,-89.056661,42.158331
301,Joliet Army Ammunition Plant (Manufacturing Area),32.08,520,-88.1563,41.3762
302,H.O.D. Landfill,34.68,522,-88.0819,42.4753
303,"Tri-County Landfill Co./Waste Management of Illinois, Inc.",42.76,523,-88.2712,41.9832
304,Parsons Casket Hardware Co.,55.58,524,-88.836,42.2692
305,Yeoman Creek Landfill,33.23,526,-87.848611,42.388889
306,DuPage County Landfill/Blackwell Forest,35.57,1035,-88.1787,41.8326
307,Southeast Rockford Ground Water Contamination,42.24,1075,-89.071111,42.230689
308,Amoco Chemicals (Joliet Landfill),39.44,1078,-88.172781,41.441669
309,"Interstate Pollution Control, Inc.",46.01,1090,-89.098,42.24100000000001
310,Central Illinois Public Service Co.,28.95,1165,-89.2975,39.5404
311,Ilada Energy Co.,34.21,1166,-89.4635,37.2584
312,Woodstock Municipal Landfill,50.1,1167,-88.4402,42.2923
313,MIG/Dewane Landfill,49.91,1189,-88.806944,42.255917
314,"Lenz Oil Service, Inc.",42.33,1202,-87.9422,41.7068
315,Adams County Quincy Landfills 2&3,34.21,1203,-91.268472,39.929444000000004
316,Beloit Corp.,52.08,1204,-89.06555,42.468610999999996
317,Ottawa Radiation Areas,50.0,1303,-88.836111,41.351667
318,Jennison-Wright Corporation,40.3,1461,-90.1525,38.708333
319,Circle Smelting Corp,70.71,1475,-89.420833,38.608333
320,DePue/New Jersey Zinc/Mobil Chemical Corp.,70.71,1486,-89.304167,41.327778
321,Indian Refinery-Texaco Lawrenceville,56.67,1516,-87.682222,38.715556
322,Chanute Air Force Base,48.3,1615,-88.138611,40.288610999999996
323,Matthiessen and Hegeler Zinc Company,50.0,1635,-89.083067,41.34215
324,Sauget Area 1,50.0,1654,-90.172917,38.585833
325,Sauget Area 2,50.0,1655,-90.182222,38.597361
326,Savanna Army Depot Activity,42.2,1694,-90.313331,42.21
327,Joliet Army Ammunition Plant (Load-Assembly-Packing Area),35.23,1695,-88.0772,41.3662
328,Hegeler Zinc,50.0,1729,-87.650092,40.076322
329,Lake Calumet Cluster,30.0,1743,-87.568889,41.679444000000004
330,ASARCO Taylor Springs,30.0,1749,-89.50545799999999,39.118677000000005
331,Eagle Zinc Co Div T L Diamond,50.0,1757,-89.476417,39.161167
332,Chemetco,30.0,1808,-90.098,38.799
333,Sandoval Zinc Company,30.0,1839,-89.108251,38.613061
334,Bautsch-Gray Mine,48.97,1861,-90.398569,42.357422
335,Estech General Chemical Company,30.0,1901,-87.526905,41.628303
336,Old American Zinc Plant,30.0,1907,-90.09899999999999,38.648
337,Schroud Property,50.0,1952,-87.543503,41.662606
338,Envirochem Corp.,46.44,527,-86.278339,40.03
339,Fisher-Calo,52.05,528,-86.6709,41.5081
340,Fort Wayne Reduction Dump,42.47,529,-85.06666899999999,41.075
341,Lake Sandy Jo (M&M Landfill),38.21,530,-87.382231,41.570839
342,Lemon Lane Landfill,29.31,531,-86.5598,39.1731
343,Main Street Well Field,42.49,532,-85.979161,41.696389
344,Marion (Bragg) Dump,35.25,533,-85.633061,40.537781
345,MIDCO I,46.44,534,-87.4284,41.5895
346,MIDCO II,30.16,535,-87.408611,41.622780999999996
347,Neal's Dump (Spencer),36.55,536,-86.7968,39.2381
348,Neal's Landfill (Bloomington),42.93,537,-86.6405,39.1667
349,Ninth Avenue Dump,40.32,538,-87.429,41.5934
350,Reilly Tar & Chemical Corp. (Indianapolis Plant),34.03,540,-86.218331,39.740281
351,Seymour Recycling Corp.,0.0,541,-85.9213,38.9352
352,Wayne Waste Oil,42.33,542,-85.476111,41.1525
353,"Wedzeb Enterprises, Inc.",31.27,543,-86.4723,40.0453
354,"American Chemical Service, Inc.",34.98,544,-87.4191,41.5142
355,Bennett Stone Quarry,32.55,545,-86.5612,39.1902
356,"Northside Sanitary Landfill, Inc.",46.04,546,-86.273331,40.028331
357,Poer Farm,37.38,547,-85.605281,39.844719
358,International Minerals & Chemicals Corp. (Terre Haute East Plant),57.8,548,-87.391389,39.437781
359,"Waste, Inc., Landfill",50.63,549,-86.88,41.721669
360,Tri-State Plating,29.28,552,-85.9007,39.2164
361,Columbus Old Municipal Landfill #1,45.31,553,-85.926,39.1974
362,Southside Sanitary Landfill,41.94,554,-86.205,39.716111
363,"Douglass Road/Uniroyal, Inc., Landfill",36.61,555,-86.1926,41.7132
364,Himco Dump,42.31,556,-86.0084,41.7073
365,"Tippecanoe Sanitary Landfill, Inc",42.24,558,-86.872219,40.456111
366,"Lakeland Disposal Service, Inc.",34.1,1037,-85.91721899999999,41.1475
367,Whiteford Sales & Service Inc./Nationalease,51.87,1041,-86.280281,41.663889000000005
368,Conrail Rail Yard (Elkhart),42.24,1085,-86.0115,41.6634
369,Continental Steel Corp.,31.85,1164,-86.156299,40.474169
370,Galen Myers Dump/Drum Salvage,42.24,1183,-86.0875,41.695839
371,Carter Lee Lumber Co.,35.4,1197,-86.1918,39.7654
372,Cam-Or Inc.,58.91,1499,-86.89930600000001,41.546528
373,Prestolite Battery Division,40.63,1696,-87.501661,38.691669
374,Jacobsville Neighborhood Soil Contamination,35.52,1711,-87.563989,37.979296999999995
375,Elm Street Ground Water Contamination,50.0,1752,-87.41431899999999,39.476586
376,Lusher Street Ground Water Contamination,50.0,1763,-85.996225,41.672922
377,"U.S. Smelter and Lead Refinery, Inc.",58.31,1788,-87.464046,41.616758000000004
378,Lane Street Ground Water Contamination,40.53,1800,-85.921006,41.716846999999994
379,Gary Development Landfill,30.0,1840,-87.426447,41.614061
380,Pike and Mulberry Streets PCE Plume,50.0,1867,-86.431789,39.428661
381,Beck's Lake,50.0,1875,-86.297514,41.676581
382,Garden City Ground Water Plume,50.0,1876,-85.930472,39.186075
383,Keystone Corridor Ground Water Contamination,50.0,1877,-86.121667,39.834722
384,North Shore Drive,50.0,1893,-86.055,41.684722
385,Kokomo Contaminated Ground Water Plume,50.0,1898,-86.11412800000001,40.479444
386,Riverside Ground Water Contamination,50.0,1915,-86.185825,39.781898999999996
387,Broadway Street Corridor Groundwater Contamination,50.0,1937,-85.6789,40.1184
388,Franklin Street Groundwater Contamination,50.0,1938,-86.7645,39.2849
389,Cliff Drive Groundwater Contamination,50.0,1948,-86.3803,40.7432
390,Arkansas City Dump,0.0,820,-97.05166899999999,37.051669
391,Doepke Disposal (Holliday),47.46,821,-94.8,39.033331
392,Johns' Sludge Pond,35.94,822,-97.3156,37.7371
393,Cherokee County,58.15,823,-94.82388900000001,37.003889
394,Big River Sand Co.,32.56,824,-97.40083100000001,37.726110999999996
395,Strother Field Industrial Park,33.62,826,-97.03193900000001,37.170831
396,Obee Road,33.62,827,-97.851389,38.063889
397,29th & Mead Ground Water Contamination,35.35,1133,-97.3266,37.7336
398,Hydro-Flex Inc.,42.79,1152,-95.726111,39.086939
399,Pester Refinery Co.,30.16,1162,-96.8574,37.8438
400,Teledyne Semiconductor,35.35,960,-122.0797,37.4108
401,"TRW Microwave, Inc. (Building 825)",31.94,961,-122.0085,37.3846
402,Fairchild Semiconductor Corp. (Mountain View Plant),31.94,963,-122.0542,37.4012
403,Sacramento Army Depot,44.46,964,-121.3958,38.520281
404,Intel Corp. (Mountain View Plant),29.76,965,-122.0566,37.3962
405,Raytheon Corp.,29.76,966,-122.0533,37.3975
406,Moffett Naval Air Station,29.49,967,-122.0522,37.411389
407,"Waste Disposal, Inc.",34.6,968,-118.055,33.95
408,Riverbank Army Ammunition Plant,63.94,1025,-120.9181,37.71695
409,Southern California Edison Co. (Visalia Poleyard),48.91,1026,-119.2767,36.333331
410,Watkins-Johnson Co. (Stewart Division Plant),28.9,1029,-122.029028,37.051111
411,Fresno Municipal Sanitary Landfill,35.57,1030,-119.8261,36.704169
412,Barstow Marine Corps Logistics Base,37.93,1104,-116.9389,34.878331
413,"Sola Optical USA, Inc.",33.39,1106,-122.5931,38.2332
