X,Y,FID,OBJECTID,Site_Name,Site_Score,Site_EPA_ID,SEMS_ID,SITS_ID,Region_ID,State,City,County,Status,Longitude,Latitude,Proposed_Date,Listing_Date,Construction_Completion_Date,Construction_Completion_Number,NOID_Date,Deletion_Date,Site_Listing_Narrative,Site_Progress_Profile,Notice_of_Data_Availability,Proposed_FR_Notice,Deletion_FR_Notice,Final_FR_Notice,NOID_FR_Notice,Restoration_FR_Notice_Jumper_Pa,Site_has_had_a_Partial_Deletion,CreationDate,Creator,EditDate,Editor
-86.3268,33.3381,17,,Alabama Army Ammunition Plant,36.83,AL6210020008,400449,390,4,Alabama,Childersburg,Talladega,NPL Site,-86.3268,33.3381,10/15/1984,07/22/1987,,0,,,"<a href=""https://semspub.epa.gov/src/document/04/11121411"" target=""_blank"">AL6210020008 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400449"" target=""_blank"">Alabama Army Ammunition Plant</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>",,,No,,,,
-86.633333,33.688889,18,,Interstate Lead Co. (ILCO),42.86,ALD041906173,404344,391,4,Alabama,Leeds,Jefferson,NPL Site,-86.633333,33.688889,09/18/1985,06/10/1986,09/30/2014,1164,,,"<a href=""https://semspub.epa.gov/src/document/04/11121412"" target=""_blank"">ALD041906173 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0404344"" target=""_blank"">Interstate Lead Co. (ILCO)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189643"" target=""_blank"">09/18/1985 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>",,,No,,,,
-88.073061,30.808331,19,,"Redwing Carriers, Inc. (Saraland)",30.83,ALD980844385,400417,1121,4,Alabama,Saraland,Mobile,Deleted NPL Site,-88.073061,30.808331,06/24/1988,02/21/1990,09/03/2009,1071,08/14/2015,09/28/2015,"<a href=""https://semspub.epa.gov/src/document/04/11121312"" target=""_blank"">ALD980844385 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400417"" target=""_blank"">Redwing Carriers, Inc. (Saraland)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2015-08-14/pdf/2015-20017.pdf"" target=""_blank"">09/28/2015 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189635"" target=""_blank"">02/21/1990 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2015-08-14/pdf/2015-20016.pdf"" target=""_blank"">08/14/2015 (PDF)</a>",,No,,,,
-86.3791,32.3761,20,,T.H. Agriculture & Nutrition Co. (Montgomery Plant),44.46,ALD007454085,404285,1194,4,Alabama,Montgomery,Montgomery,NPL Site,-86.3791,32.3761,06/24/1988,08/30/1990,09/27/2002,841,,,"<a href=""https://semspub.epa.gov/src/document/04/11121330"" target=""_blank"">ALD007454085 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0404285"" target=""_blank"">T.H. Agriculture & Nutrition Co. (Montgomery Plant)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189637"" target=""_blank"">08/30/1990 (PDF)</a>",,,No,,,,
-86.673055,34.646944,21,,Redstone Arsenal (USARMY/NASA),50,AL7210020742,405545,1396,4,Alabama,Huntsville,Madison,NPL Site,-86.673055,34.646944,06/23/1993,05/31/1994,,0,,,"<a href=""https://semspub.epa.gov/src/document/04/11121354"" target=""_blank"">AL7210020742 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0405545"" target=""_blank"">Redstone Arsenal (USARMY/NASA)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189656"" target=""_blank"">06/23/1993 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189638"" target=""_blank"">05/31/1994 (PDF)</a>",,,No,,,,
-85.404167,31.325,22,,American Brass,55.61,ALD981868466,406299,1538,4,Alabama,Headland,Henry,NPL Site,-85.404167,31.325,01/19/1999,05/10/1999,09/01/2009,1070,,,"<a href=""https://semspub.epa.gov/src/document/04/11121379"" target=""_blank"">ALD981868466 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0406299"" target=""_blank"">American Brass</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-01-19/pdf/99-1021.pdf"" target=""_blank"">01/19/1999 (PDF)</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-05-10/pdf/99-11705.pdf"" target=""_blank"">05/10/1999 (PDF)</a>",,,No,,,,
-86.306,32.382,23,,Capitol City Plume,50,AL0001058056,406330,1593,4,Alabama,Montgomery,Montgomery,Proposed NPL Site,-86.306,32.382,05/11/2000,,,0,,,"<a href=""https://semspub.epa.gov/src/document/04/11121387"" target=""_blank"">AL0001058056 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0406330"" target=""_blank"">Capitol City Plume</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2000-05-11/pdf/00-11563.pdf"" target=""_blank"">05/11/2000 (PDF)</a>",,,,,No,,,,
-86.405,33.399722,24,,"Alabama Plating Company, Inc.",30.2,ALD004022448,400129,1610,4,Alabama,Vincent,Shelby,NPL Site,-86.405,33.399722,08/24/2000,09/18/2012,06/21/2018,1198,,,"<a href=""https://semspub.epa.gov/src/document/04/11121061"" target=""_blank"">ALD004022448 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400129"" target=""_blank"">Alabama Plating Company, Inc.</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2000-08-24/pdf/00-21524.pdf"" target=""_blank"">08/24/2000 (PDF)</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2012-09-18/pdf/2012-22851.pdf"" target=""_blank"">09/18/2012 (PDF)</a>",,,No,,,,
-85.969439,33.659439,25,,Anniston Army Depot (Southeast Industrial Area),51.91,AL3210020027,400443,1690,4,Alabama,Anniston,Calhoun,NPL Site,-85.969439,33.659439,07/22/1987,03/13/1989,,0,,,"<a href=""https://semspub.epa.gov/src/document/04/11121396"" target=""_blank"">AL3210020027 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400443"" target=""_blank"">Anniston Army Depot (Southeast Industrial Area)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189646"" target=""_blank"">07/22/1987 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189630"" target=""_blank"">03/13/1989 (PDF)</a>",,,No,,,,
-86.799671,33.557464,26,,35th Avenue,50,ALN000410750,410750,1897,4,Alabama,Birmingham,Jefferson,Proposed NPL Site,-86.799671,33.557464,09/22/2014,,,0,,,"<a href=""https://semspub.epa.gov/src/document/04/11121096"" target=""_blank"">ALN000410750 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0410750"" target=""_blank"">35th Avenue</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-2014-09-22/pdf/2014-22423.pdf"" target=""_blank"">09/22/2014 (PDF)</a>",,,,,No,,,,
-91.2255,35.6349,27,,Cecil Lindsey,35.6,ARD980496186,600151,743,6,Arkansas,Newport,Jackson,Deleted NPL Site,-91.2255,35.6349,12/30/1982,09/08/1983,03/16/1989,36,03/28/1989,09/22/1989,"<a href=""https://semspub.epa.gov/src/document/06/300329"" target=""_blank"">ARD980496186 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0600151"" target=""_blank"">Cecil Lindsey</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/06/300396"" target=""_blank"">09/22/1989 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/06/300086"" target=""_blank"">03/28/1989 (PDF)</a>",,No,,,,
-90.3116,35.1209,28,,Gurley Pit,40.13,ARD035662469,600077,745,6,Arkansas,Edmondson,Crittenden,Deleted NPL Site,-90.3116,35.1209,12/30/1982,09/08/1983,09/13/1994,254,07/28/2003,11/06/2003,"<a href=""https://semspub.epa.gov/src/document/06/300331"" target=""_blank"">ARD035662469 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0600077"" target=""_blank"">Gurley Pit</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2003-11-06/pdf/03-27849.pdf"" target=""_blank"">11/06/2003 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2003-07-28/pdf/03-19006.pdf"" target=""_blank"">07/28/2003 (PDF)</a>",,No,,,,
-94.3525,35.2402,29,,Industrial Waste Control,30.31,ARD980496368,600163,746,6,Arkansas,Ft. Smith,Sebastian,Deleted NPL Site,-94.3525,35.2402,12/30/1982,09/08/1983,06/10/1992,89,02/05/2008,04/07/2008,"<a href=""https://semspub.epa.gov/src/document/06/300332"" target=""_blank"">ARD980496368 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0600163"" target=""_blank"">Industrial Waste Control</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2008-02-05/pdf/E8-1964.pdf"" target=""_blank"">04/07/2008 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2008-02-05/pdf/E8-1963.pdf"" target=""_blank"">02/05/2008 (PDF)</a>",,No,,,,
-94.2566,34.5697,30,,Mid-South Wood Products,45.87,ARD092916188,600136,747,6,Arkansas,Mena,Polk,NPL Site,-94.2566,34.5697,12/30/1982,09/08/1983,09/28/1989,39,,,"<a href=""https://semspub.epa.gov/src/document/06/300333"" target=""_blank"">ARD092916188 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0600136"" target=""_blank"">Mid-South Wood Products</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,No,,,,
-93.203889,35.025,31,,Midland Products,30.77,ARD980745665,600216,748,6,Arkansas,"Birta, Ola",Yell,NPL Site,-93.203889,35.025,10/15/1984,06/10/1986,12/21/1993,223,,,"<a href=""https://semspub.epa.gov/src/document/06/300334"" target=""_blank"">ARD980745665 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0600216"" target=""_blank"">Midland Products</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>",,,No,,,,
-92.1312,34.878,32,,"Vertac, Inc.",65.46,ARD000023440,600023,749,6,Arkansas,Jacksonville,Pulaski,NPL Site,-92.1312,34.878,12/30/1982,09/08/1983,08/31/1998,527,,,"<a href=""https://semspub.epa.gov/src/document/06/300335"" target=""_blank"">ARD000023440 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0600023"" target=""_blank"">Vertac, Inc.</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,No,,,,
-93.1964,36.445,33,,"Arkwood, Inc.",28.95,ARD084930148,600124,750,6,Arkansas,Omaha,Boone,NPL Site,-93.1964,36.445,09/18/1985,03/31/1989,06/28/1996,360,,,"<a href=""https://semspub.epa.gov/src/document/06/300336"" target=""_blank"">ARD084930148 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0600124"" target=""_blank"">Arkwood, Inc.</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189643"" target=""_blank"">09/18/1985 (PDF)</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189631"" target=""_blank"">03/31/1989 (PDF)</a>",,,No,,,,
-92.071661,34.863331,34,,Jacksonville Municipal Landfill,29.64,ARD980809941,600236,751,6,Arkansas,Jacksonville,Lonoke,Deleted NPL Site,-92.071661,34.863331,01/22/1987,07/22/1987,09/25/1995,321,11/09/1999,03/14/2000,"<a href=""https://semspub.epa.gov/src/document/06/300337"" target=""_blank"">ARD980809941 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0600236"" target=""_blank"">Jacksonville Municipal Landfill</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189645"" target=""_blank"">01/22/1987 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2000-03-14/pdf/00-6218.pdf"" target=""_blank"">03/14/2000 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-11-09/pdf/99-29073.pdf"" target=""_blank"">11/09/1999 (PDF)</a>",,No,,,,
